Latitude,Longitude,Name,Description
0.041705,32.444457,"Entebbe International Airport","2291 meter radius level 2 NFZ around Kampala"
0.403498,35.236088,"Eldoret International Airport","2825 meter radius level 2 NFZ around Eldoret"
44.823247,0.517322,"Bergerac-Roumanière Airport","1276 meter radius level 2 NFZ around Bergerac/Roumanière"
50.83525,-0.294921,"Shoreham Airport","588 meter radius level 2 NFZ around Shoreham-by-Sea"
0.973982,-79.624805,"General Rivadeneira Airport","1580 meter radius level 2 NFZ around Tachina"
51.276552,-0.775147,"Farnborough Airport","1492 meter radius level 2 NFZ around Farnborough"
0.482768,25.337118,"Bangoka International Airport","2429 meter radius level 2 NFZ around Kisangani"
-0.93639,134.87194,"Kornasoren Airfield Airport","1055 meter radius level 2 NFZ around Kornasoren-Numfoor Island"
-0.522163,15.934593,"Owando Airport","1294 meter radius level 2 NFZ around Owando"
-0.309496,73.433403,"Fuvahmulah Airport","663 meter radius level 2 NFZ around Fuvahmulah Island"
-0.479157,104.579387,"Bandar Udara Dabo Airport","606 meter radius level 2 NFZ around Pasirkuning-Singkep Island"
49.36431,0.153198,"Deauville-Saint-Gatien Airport","1512 meter radius level 2 NFZ around Deauville"
14.033333,-0.033333,"Dori Airport","50 meter radius level 2 NFZ around Dori"
5.605412,-0.167692,"Kotoka International Airport","1929 meter radius level 2 NFZ around Accra"
-0.600765,-72.397698,"Araracuara Airport","821 meter radius level 2 NFZ around Araracuara"
0.490741,173.831061,"Abemama Atoll Airport","866 meter radius level 2 NFZ around Abemama Atoll"
44.174595,0.593475,"Agen-La Garenne Airport","1203 meter radius level 2 NFZ around Agen/La Garenne"
38.284641,-0.560013,"Alicante International Airport","1915 meter radius level 2 NFZ around Alicante"
47.560361,-0.312112,"Angers-Loire Airport","1247 meter radius level 2 NFZ around Angers/Marcé"
45.727573,0.217837,"Angoulême-Brie-Champniers Airport","1193 meter radius level 2 NFZ around Angoulême/Brie/Champniers"
27.834642,-0.189547,"Touat Cheikh Sidi Mohamed Belkebir Airport","2187 meter radius level 2 NFZ around Adrar"
53.574444,-0.350833,"Humberside Airport","1240 meter radius level 2 NFZ around Grimsby"
51.611667,-0.808333,"Wycombe Air Park Airport","450 meter radius level 2 NFZ around High Wycombe"
52.204983,0.175383,"Cambridge Airport","1031 meter radius level 2 NFZ around Cambridge"
39.998624,0.026036,"Castellón Airport","471 meter radius level 2 NFZ around Castellón de La Plana"
47.082603,-0.876572,"Cholet Le Pontreau Airport","757 meter radius level 2 NFZ around Cholet/Le Pontreau"
49.177009,-0.454551,"Caen-Carpiquet Airport","1015 meter radius level 2 NFZ around Caen/Carpiquet"
-0.693184,73.155678,"Gan International Airport","1437 meter radius level 2 NFZ around Gan"
-0.463379,39.647673,"Garissa Airport","692 meter radius level 2 NFZ around Garissa"
0.271067,34.788572,"Kakamega Airport","682 meter radius level 2 NFZ around Kakamega"
0.733342,73.433853,"Kooddoo Airport","740 meter radius level 2 NFZ around Huvadhu Atoll"
-0.453599,-90.265888,"Aeropuerto de Baltra Airport","1365 meter radius level 2 NFZ around Baltra"
0.637012,122.848441,"Jalaluddin Airport","1599 meter radius level 2 NFZ around Gorontalo-Celebes Island"
0.452635,33.193619,"Jinja Airport","864 meter radius level 2 NFZ around Jinja"
-0.942628,-90.953008,"General Villamil Airport","757 meter radius level 2 NFZ around Isabela"
41.728259,0.535866,"Lleida-Alguaire Airport","1258 meter radius level 2 NFZ around Torrefarrera"
-0.547613,166.919113,"Nauru International Airport","1165 meter radius level 2 NFZ around Yaren District"
-0.378809,-64.991675,"Tapuruquara Airport","864 meter radius level 2 NFZ around Santa Isabel Do Rio Negro"
-0.981054,-62.91817,"Barcelos Airport","998 meter radius level 2 NFZ around Barcelos"
51.325154,-0.848243,"Blackbushe Airport","906 meter radius level 2 NFZ around Yateley"
52.342307,0.771883,"RAF Honington Airport","1670 meter radius level 2 NFZ around Thetford"
-0.607799,-80.402842,"Los Perales Airport","1191 meter radius level 2 NFZ around San Vicente"
21.374581,0.926644,"Bordj Badji Mokhtar Airport","1924 meter radius level 2 NFZ around Bordj Badji Mokhtar"
-0.286745,20.88314,"Boende Airport","761 meter radius level 2 NFZ around Boende"
0.576988,29.469971,"Beni Airport","1107 meter radius level 2 NFZ around Beni"
51.329208,0.031486,"London Biggin Hill Airport","1168 meter radius level 2 NFZ around London"
0.121446,117.47627,"Bontang Airport","893 meter radius level 2 NFZ around Bontang-Borneo Island"
-0.907268,-78.615881,"Cotopaxi International Airport","2163 meter radius level 2 NFZ around Latacunga"
-0.917485,119.908248,"Komodo (Mutiara II) Airport","1255 meter radius level 2 NFZ around Labuan Bajo-Flores Island"
0.456963,9.409852,"Libreville Leon M'ba International Airport","1872 meter radius level 2 NFZ around Libreville"
51.504952,0.054668,"London City Airport","1091 meter radius level 2 NFZ around London"
43.17973,-0.003812,"Tarbes-Lourdes-Pyrénées Airport","1709 meter radius level 2 NFZ around Tarbes/Lourdes/Pyrénées"
49.533668,0.089027,"Le Havre Octeville Airport","1269 meter radius level 2 NFZ around Le Havre/Octeville"
0.092222,-76.869444,"Nueva Loja Airport","1380 meter radius level 2 NFZ around Nueva Loja"
51.153341,-0.18378,"London Gatwick Airport","2500 meter radius level 2 NFZ around London"
-0.181976,-74.77125,"Leguizamo Airport","725 meter radius level 2 NFZ around Leguizamo"
51.470238,-0.456012,"London Heathrow Airport","3033 meter radius level 2 NFZ around London"
52.409065,0.55923,"RAF Lakenheath Airport","1668 meter radius level 2 NFZ around Lakenheath"
47.949163,0.199455,"Le Mans-Arnage Airport","794 meter radius level 2 NFZ around Le Mans/Arnage"
-0.825379,12.745784,"Lastourville Airport","1246 meter radius level 2 NFZ around Lastourville"
51.876266,-0.371747,"London Luton Airport","1454 meter radius level 2 NFZ around London"
48.031113,-0.743611,"Laval-Entrammes Airport","946 meter radius level 2 NFZ around Laval/Entrammes"
50.956663,0.93783,"Lydd Airport","858 meter radius level 2 NFZ around Lydd, Ashford"
46.311333,-0.401439,"Niort-Souché Airport","1080 meter radius level 2 NFZ around Niort/Souché"
-0.639722,174.427778,"Nonouti Airport","517 meter radius level 2 NFZ around Nonouti"
-0.348869,111.747606,"Nanga Pinoh I Airport","587 meter radius level 2 NFZ around Nanga Pinoh-Borneo Island"
-0.297425,36.153617,"Nakuru Airport","1600 meter radius level 2 NFZ around Nakuru"
-0.36878,36.97982,"Nyeri Airport","964 meter radius level 2 NFZ around Nyeri"
0.027787,37.024273,"Nanyuki Airport","2517 meter radius level 2 NFZ around Nanyuki"
-0.45678,-76.989901,"Francisco De Orellana Airport","1638 meter radius level 2 NFZ around Francisco de Orellana"
51.234737,-0.942426,"RAF Odiham Airport","1063 meter radius level 2 NFZ around Odiham"
-0.66703,13.673757,"Okondja Airport","909 meter radius level 2 NFZ around Okondja"
52.305265,-0.791359,"Sywell Aerodrome Airport","713 meter radius level 2 NFZ around Northampton"
35.622932,-0.62013,"Es Senia Airport","2290 meter radius level 2 NFZ around Oran"
0.48818,72.995542,"Kaadedhdhoo Airport","983 meter radius level 2 NFZ around Huvadhu Atoll"
-0.088454,34.7238,"Kisumu Airport","1772 meter radius level 2 NFZ around Kisumu"
-0.376965,42.459347,"Kisimayu Airport","2049 meter radius level 2 NFZ around "
