Latitude,Longitude,Name,Description
30.322501,109.485498,"Enshi Airport",Enshi
36.637356,109.554365,"Yan'an Airport","Yan'an"
25.934999,119.66333,"Fuzhou Changle International Airport",Fuzhou
40.06238,113.479289,"Datong Airport",Datong
31.130899,107.430094,"Dachuan Airport",Dazhou
40.025536,124.285065,"Dandong Airport",Dandong
27.792159,99.678255,"Diqing Airport",Shangri-La
38.965356,121.54044,"Zhoushuizi Airport",Dalian
25.650105,100.318848,"Dali Airport",Xiaguan
40.16169,94.809095,"Dunhuang Airport",Dunhuang
37.506138,118.788938,"Dongying Shengli Airport",Dongying
46.752454,125.13804,"Saertu Airport","Daqing Shi"
39.493757,109.860041,"Ordos Ejin Horo Airport",Ordos
29.103093,110.443505,"Dayong Airport",Dayong
25.086545,104.959255,"Xingyi Airport",Xingyi
23.719837,106.959768,"Baise Youjiang Airport",Baise
32.531989,102.354197,"Hongyuan Airport",Aba
41.262629,80.289437,"Aksu Airport",Aksu
41.10553,122.85635,"Anshan Air Base Airport",Anshan
30.582728,117.050495,"Anqing Airport",Anqing
26.260626,105.873664,"Anshun Huangguoshu Airport",Anshun
36.133934,114.340383,"Anyang Airport",Anyang
19.938354,110.461881,"Haikou Meilan International Airport",Haikou
36.52455,114.424158,"Handan Airport",Handan
50.178687,127.313566,"Heihe Airport",Heihe
40.850611,111.824035,"Baita International Airport",Hohhot
31.987054,116.972606,"Hefei Xinqiao Airport",Hefei
30.236246,120.433739,"Hangzhou Xiaoshan International Airport",Hangzhou
33.790812,119.125253,"Lianshui Airport","Huai'an"
27.443886,109.70527,"Zhijiang Airport",Huaihua
43.904125,87.477759,"Dongshan Airport",Hailar
46.195428,122.007918,"Ulanhot Airport",Hinggan
42.841587,93.668461,"Hami Airport",Hami
26.7208002757,112.6188744664,"Nanyue Airport",Hengyang
24.978378,113.421111,"Shaoguan Guitou Airport",Shaoguan
29.933374,122.359681,"Zhoushan Airport",Zhoushan
37.040155,79.864516,"Hotan Airport",Hotan
23.049952,114.600282,"Huizhou Airport",Huizhou
28.56241,121.428439,"Huangyan Luqiao Airport",Huangyan
33.12814593839,107.191006678845,"Hanzhong Airport",Hanzhong
26.322162,109.149912,"Liping Airport",Liping
23.398271,113.305038,"Guangzhou Baiyun International Airport",Guangzhou
28.918992,111.639612,"Changde Airport",Changde
34.520638,113.841789,"Xinzheng Airport",Zhengzhou
43.99551,125.687466,"Longjia Airport","Changchun Shi"
41.538679,120.434163,"Chaoyang Airport",Chaoyang
42.160732,118.841814,"Chifeng Airport",Chifeng
36.247652,113.126255,"Changzhi Airport",Changzhi
29.7217,106.641668,"Chongqing Jiangbei International Airport",Chongqing
28.192884,113.213797,"Changsha Huanghua International Airport",Changsha
30.578333,103.946945,"Chengdu Shuangliu International Airport",Chengdu
31.919481,119.77526,"Changzhou Airport","Zhenjiang Shi"
30.948072,104.329336,"Guanghan Airport","Civil Aviation Flight University of China"
36.402839,94.786321,"Golmud Airport",Golmud
32.390036,105.69462,"Guangyuan Airport",Guangyuan
36.079094,106.216948,"Guyuan Liupanshan Airport",Guyuan
